Adres email,Adresy www,Telefony,KRS,REGON,NIP,Rok powstania
,,,0000502235,14715065900000,1182097476,2014
motorowodniacy@motorowodniacy.org,,"22 617 44 49, 22 617 09 84",0000058367,00086659600000,1130344603,1981
biuro@rotwl.pl,,42 663 77 33,0000115583,47308971700000,7251848168,2002
ksw-tae@wp.pl,,,,14595391100000,8222342550,2011
,,,,382399612,1182191703,2018
,,,,520162065,5213940913,2021
akademia_mlodeorly@o2.pl,,,,383293420,9512483934,2018
biuro@uks-pcs.pl,,506 178 016,,14068626200000,1132643801,2006
biuro.wasir@gmail.com,,,,387818367,5223195836,2020
kswbushi@onet.pl,,22 100 69 50,,01735650200000,5321783126,2001
elephant.warszawa.2021@gmail.com,,,,388280183,5223199449,2021
biuro@judo-aszwoj.pl,,883 059 952,,015861199,9521957886,2004
klub@grochovia.pl,,518 238 080,,14157856300000,1132737471,2008
uks@rgacademy.eu,,576 122 52,,14704155100000,5223011782,2013
tsgwardia@wp.pl,,501 382 385,,14630632600000,9512360485,2012
taebaek@wa.home.pl,,,,01289788300000,1181261790,1998
kontakt@gwksajsedora.pl,,,,14714785800000,7010416935,2014
biuro@akademiawojtowicza.pl,,607 507 408,,38199552000000,,2018
janusz.lagiewnicki@wp.pl,,602 281 550,,36751615600000,9522164320,2017
kontakt@akademiaferajna.pl,,798 780 591,,36303324800000,5272751154,2015
,,509 058 970,,14293826500000,5242734754,2011
piotrsztencel@gmail.com,,513 133 120,,01634877100000,1132267427,2000
biuro@karatenikobushi.pl,,794 602 404,,14719274100000,5291803314,2014
kontakt@judo.pl,,501 866 910,,01260876100000,5222432843,1992
uksesperanto@op.pl,,606 758 137,,14296953800000,5272657403,2011
biernat.j@wp.pl,,602 601 789,,01585476200000,5242521739,2004
kontakt@uniqfightclub.com,,,,14728136700000,9522130232,2014
mksn.mazowsze@gmail.com,,535 150 755,,14056830900000,5272508413,2006
ksgold@szkolaplywania.waw.pl,,514 919 333,,36845783000000,7010728600,2017
gm.judo@gmail.com,,518 122 402,,36376028000000,9522143625,2016
,,,,01744352000000,1132331266,2001
fundacja@skarbiecmazurski.pl,,600 347 128,0000827397,38566096200000,8451995561,2020
pszczynskaorkiestraludowa@gmail.com,,,,526145062,6381854480,2023
poczta@grom.waw.pl,,721 144 144,0000553247,36130963400000,5223027553,2015
kontakt@movecamp.pl,,509 469 108,0000749350,38133559600000,1182180958,2018
biuro.mcsp@gmail.com,,501 315 379,0000420800,14704855300000,5252577552,2012
stowarzyszenie@nobel-sport.pl,,604 548 000,0000180789,27817738400000,6443161917,2003
,,,,521218158,5512653417,2022
biuro@ziomki.eu,,783 974 319,,18093186500000,8133676002,2013
,,,,27193891100000,6311084433,1993
fundacja@enfor.org,,,0001037188,525392924,5252957384,2023
jingym22@gmail.com,,536 713 760,0000960227,52148041300000,7393965352,2022
,,"693 899 090, 604 890 614",0000280471,14103096000000,5242615297,2007
biuro@fast-step.pl,,,,14624656400000,5322044307,2012
,,,,14277618200000,9512330780,2010
,,,,01016890900000,5222162651,2002
czesc@futbolaustralijski.pl,,,,384695792,7010955922,2019
biuro.mksmdkwarszawa@gmail.com,,,,01616441000000,5262695282,1999
uksfir@fir.com.pl,,601 316 500,,01722983800000,5252222719,2000
info@kajel.pl,,604 459 528,0000037721,017432019,9512035638,2000
biuro@stowarzyszeniewest.pl,,,0000280898,14101959100000,7010072447,2007
biuro@panstwomiasto.pl,,,0000101654,63434530800000,7781399436,2002
igwarszawasport@gmail.com,,607 271 335,,14615715100000,7710345158,2012
akszly@gmail.com,,,0000606236,36406849600000,1132906577,2016
contact@fundacjapoland21c.com,,,0000406956,14594906800000,7010331995,2011
biuro@karateklubwarszawa.pl,,663 470 563,,36474902600000,5272773428,2016
legia.bemowo@wp.pl,,,,14077106800000,5222831000,2004
biuro@fundacja-umbrella.org.pl,,71 359 75 00,,,,2007
carramba.manager@gmail.com,,733 336 649,,24053211300000,6342629164,2006
worldsokarate@gmail.com,,,0000597840,36360876600000,8393182604,2015
judochojrak@gmail.com,,730 755 700,,14682142000000,5242761998,2013
info@bestwaygroup.pl,,509 532 390,0000543479,36080772600000,5252609559,2015
biuro@stowarzyszeniesyrenka.pl,,507 336 498,0000090957,01189670000000,5251917388,1996
biuro@koronawarszawa.pl,,,0000406809,14601888600000,5242750049,2012
sekretariat@azsawf.com,,519 148 573,0000373912,01266971600000,1181094524,1997
semp@semp.com.pl,,509 099 123,0000128387,01038779300000,9511353804,2002
cyryl.nizewski@hotmail.com,,,0000810052,384686681,7010951628,2019
,,604 499 226,,14723714200000,1231286557,2014
bialo.zielone.rugby.gdansk@gmail.com,,,0000541748,22215348200000,9571074999,2014
kontakt@kendo-warszawa.pl,,507 678 399,,14668175100000,5242759665,2013
,,,0001054065,38037493800000,5732901484,2018
dspieckimigowo@gmail.com,,536 793 351,0000425041,22168423700000,9571065581,2012
,,731 202 424,,526105499,6852352023,2023
ksmdplockiej@gmail.com,,,,61020448900000,7742620606,1993
adampietrzkiewicz@ipapodkarpacie.pl,,502 322 836,0000482731,69072856600000,8133176877,2000
amazonki@amazonkibelchatow.pl,,"516 066 494, 502 239 941",0000250230,10015424300000,7692082933,2006
jaslo@ipapodkarpacie.pl,,606 742 629,0000236973,18004755900000,6852166763,2004
mareksamek@ipapodkarpacie.pl,,534 648 000,,690728566,8133176877,2009
marekopiela@ipapodkarpacie.pl,,"509 344 137, 504 642 472",,690728566,8133176877,2013
krosno@ipapodkarpacie.pl,,"725 041 576, 506 328 064",0000223165,18000328900000,6842383393,2003
ropczyce@ipapodkarpacie.pl,,"888 440 444, 602 673 454",,690728566,8133176877,2011
franciszekkantor@ipapodkarpacie.pl,,"607 178 313, 609 226 576",0000645997,18080931900000,7941818825,2011
bieszczadysanok@ipapodkarpacie.pl,,"47 829 63 21, 608 356 671",,690758566,8133176877,2010
strzyzow@ipapodkarpacie.pl,,"602 802 725, 693 544 339",,690728566,8133176877,2019
debica@ipapodkarpacie.pl,,503 536 732,,690728566,8133176877,2000
lesko@ipapodkarpacie.pl,,"733 3333 395, 602 109 277",,690728566,8133176877,2016
rzeszowkmp@ipapodkarpacie.pl,,601 631 653,0000205657,69178224300000,8133352469,2003
info@autismteam.edu.pl,,509 707 337,0000774433,38269335200000,7262676392,2019
janfaber@ipaprzemysl.pl,,"667 666 090, 16 677 35 34",0000412332,18062885900000,7952510344,2007
kontakt@stafo.pl,,537 713 620,0001035594,525316580,8513299327,2023
info@kaloryfer.eu,,,,12079904200000,6792991936,2007
kontakt@ziemiaslupska.pl,,,0001044737,525889168,8393239008,2023
biuro@otop.org.pl,,512 232 931,0000015808,19052432000000,9570553373,1991
marszszlakiemlalusia@gmail.com,,,,36948252700000,7123361928,2018
tsszs2010@gmail.com,,,0000358241,34077756700000,9562275190,2010
kontakt@pstk.pl,,,0000388133,30191211300000,7831784396,2011
aikido.tczew@gmail.com,,509 810 339,,19167587600000,5932141931,1998
,,696 551 081,0000243520,02017257600000,8862815796,2005
beaskoopole@gmail.com,,"604 918 895, 609 788 579",0000210173,53245053000000,7542770287,2004
kontakt@mediaprzyszlosci.org,,,0000960617,52150180700000,5252900183,2022
